0_config,numCycles,iqFullEvents,cpi,ipc,enterRA,totalCyclesRA,cyclesAvgRA,pctRobEmptyRA,totalDecodedRA,l1Miss,l1MissRA,icacheStallCycles,fullRegistersEvents,l2Miss,l2MissRA,freeRegsAvg,iqFullRa,fullROBstalls
run_randacc600k_rob128_256kB,22313964,103571,6.128782,0.163165,82738,15320361,185.167,84.187,5358886,179337,44214,1834883,1505,74035,23996,,,
run_randacc600k_rob128_64kB,35931859,173307,9.869091,0.101326,151881,28478859,187.508,84.758,10587749,202802,31869,2832452,444,133794,52224,,,
run_randacc600k_rob160_128kB,30784940,132434,8.455431,0.118267,126254,23488616,186.043,85.840,7481067,191672,40048,2467660,692,111323,42714,,,
run_randacc600k_rob160_256kB,22456658,100184,6.167975,0.162128,83235,15441501,185.517,86.478,4181705,180228,43004,1838699,1157,74725,23345,,,
run_randacc600k_rob160_64kB,35938047,152271,9.870790,0.101309,151732,28488524,187.756,85.568,9768067,202825,31784,2829138,412,133688,52301,,,
run_randacc600k_rob192_128kB,30764183,128449,8.449730,0.118347,126273,23473822,185.897,85.993,7416897,191617,40319,2467920,718,111178,42861,,,
run_randacc600k_rob192_256kB,22438660,97155,6.163031,0.162258,83051,15428102,185.767,86.802,4074403,180036,43093,1835456,1208,74652,23408,,,
run_randacc600k_rob192_64kB,35901050,150476,9.860629,0.101413,151776,28448925,187.440,85.637,9735646,202990,31628,2830577,419,133608,52411,,,
run_randacc600k_rob64_128kB,30920322,199483,8.492615,0.117749,126809,23625485,186.308,81.340,13865017,191735,39612,2441141,879,112146,41884,,,
run_randacc600k_rob64_256kB,22383376,119652,6.147847,0.162659,82965,15387419,185.469,80.429,9390669,179784,43642,1806205,1757,74370,23689,,,
run_randacc600k_rob64_64kB,35396198,246860,9.721965,0.102860,150054,27989315,186.528,81.540,16220878,201477,34611,2781169,637,130954,54972,,,
run_randacc600k_rob96_128kB,30859311,54388,8.475858,0.117982,126542,23560438,186.187,82.446,10432429,191559,40029,2463989,929,111733,42291,,,
run_randacc600k_rob96_256kB,22320095,38442,6.130466,0.163120,82862,15326218,184.961,81.733,7097718,179417,44167,1824557,1771,74160,23870,,,
run_randacc600k_rob96_64kB,35974125,65248,9.880699,0.101207,151947,28529292,187.758,82.843,12315804,202514,32029,2827386,544,133952,52043,,,
run_susan_rob128_128kB,56332675,38888,1.489685,0.671283,13128,1634168,124.480,38.039,2409556,22665,130039,4371622,11466,17227,11490,,,
run_susan_rob128_256kB,56301281,38869,1.488854,0.671657,13094,1638503,125.134,38.195,2407146,22670,129827,4370780,11051,17184,11489,,,
run_susan_rob128_64kB,56297578,38855,1.488756,0.671702,13169,1629327,123.724,37.789,2410528,22869,130016,4370948,10563,17217,11488,,,
run_susan_rob160_128kB,56291950,46399,1.488608,0.671769,13197,1649056,124.957,38.537,2399507,22861,129886,4401097,9932,17293,11453,,,
run_susan_rob160_256kB,56251657,46361,1.487542,0.672250,13153,1648832,125.358,38.761,2395898,22825,129826,4400247,9954,17253,11472,,,
run_susan_rob160_64kB,56250118,46390,1.487501,0.672268,13251,1645619,124.188,38.424,2401497,23016,130035,4401423,10487,17285,11470,,,
run_susan_rob192_128kB,56278824,46994,1.488260,0.671925,13155,1636882,124.430,38.279,2384714,22610,130063,4431481,9921,16901,11468,,,
run_susan_rob192_256kB,56226763,46983,1.486884,0.672548,13091,1637867,125.114,38.452,2379083,22442,129797,4429476,9704,16871,11470,,,
run_susan_rob192_64kB,56241879,47005,1.487283,0.672367,13130,1632172,124.309,38.211,2381522,22586,129927,4430598,9676,16920,11451,,,
run_susan_rob64_128kB,56887187,7150,1.504348,0.664740,13334,1805746,135.424,41.555,2686111,21596,130676,4252675,10729,16299,11849,,,
run_susan_rob64_256kB,56856493,7152,1.503537,0.665099,13302,1817476,136.632,41.934,2687088,21535,130657,4252195,11566,16279,11859,,,
run_susan_rob64_64kB,56852782,7171,1.503438,0.665142,13358,1807870,135.340,41.534,2690186,21638,130796,4253051,11737,16318,11831,,,
run_susan_rob96_128kB,56424112,157075,1.492103,0.670195,13199,1658080,125.622,37.747,2498538,22852,129750,4312514,12287,16653,11529,,,
run_susan_rob96_256kB,56371716,157065,1.490717,0.670818,13149,1671386,127.111,38.290,2497543,22802,129747,4310558,11277,16652,11549,,,
run_susan_rob96_64kB,56387048,157094,1.491122,0.670636,13209,1658030,125.523,37.608,2498392,22895,129816,4311329,12035,16693,11517,,,

