0_config,numCycles,iqFullEvents,cpi,ipc,enterRA,totalCyclesRA,cyclesAvgRA,pctRobEmptyRA,totalDecodedRA,l1Miss,l1MissRA,icacheStallCycles,fullRegistersEvents,l2Miss,l2MissRA,freeRegsAvg,iqFullRa,fullROBstalls
base_randacc600k_rob160_64kB,40915884,69929,11.238009,0.088984,183798,,,,1226267,210485,,536479,,186723,,,,21269046
base_randacc600k_rob192_128kB,35143367,120822,9.652522,0.103600,152360,,,,931378,210490,,537312,,154753,,,,583058
base_randacc600k_rob192_256kB,24923682,125113,6.845571,0.146080,96258,,,,708477,210482,,537301,,98518,,,,644889
base_randacc600k_rob192_64kB,40808257,118130,11.208448,0.089218,181756,,,,1025167,210489,,537034,,186718,,,,880928
base_randacc600k_rob64_128kB,34892428,0,9.583599,0.104345,153233,,,,714026,210483,,537197,,154752,,,,30244499
base_randacc600k_rob64_256kB,24816672,0,6.816179,0.146710,98074,,,,459294,210490,,537216,,98523,,,,20227944
base_randacc600k_rob64_64kB,40482721,0,11.119036,0.089936,184839,,,,859252,210482,,536854,,186720,,,,35823970
base_randacc600k_rob96_128kB,34962143,0,9.602747,0.104137,153696,,,,730636,210474,,535505,,154753,,,,30317507
base_randacc600k_rob96_256kB,24590398,0,6.754030,0.148060,97892,,,,487051,210479,,535800,,98522,,,,20028813
base_randacc600k_rob96_64kB,40190847,0,11.038870,0.090589,184366,,,,896296,210474,,535421,,186720,,,,35555027
base_susan_rob128_128kB,56298716,38133,1.488786,0.671688,20977,,,,1662236,137191,,3838153,,28957,,,,2612875
base_susan_rob128_256kB,56277243,38143,1.488219,0.671944,20969,,,,1662239,137157,,3836982,,28943,,,,2632193
base_susan_rob128_64kB,56270289,38133,1.488035,0.672027,20981,,,,1662895,137160,,3837843,,28964,,,,2608598
base_susan_rob160_128kB,56085499,45887,1.483148,0.674242,20995,,,,2119585,166413,,3868219,,28999,,,,1980701
base_susan_rob160_256kB,56071529,45889,1.482779,0.674409,20996,,,,2120027,166496,,3867324,,28976,,,,1999911
base_susan_rob160_64kB,56049445,45897,1.482195,0.674675,20995,,,,2119732,166471,,3868746,,29004,,,,1973827
base_susan_rob192_128kB,55856142,46606,1.477083,0.677010,20879,,,,2537267,194928,,3902363,,28602,,,,1578110
base_susan_rob192_256kB,55839493,46605,1.476643,0.677212,20887,,,,2537220,194980,,3901700,,28600,,,,1601206
base_susan_rob192_64kB,55827906,46584,1.476336,0.677352,20885,,,,2537610,194974,,3901447,,28629,,,,1577096
base_susan_rob64_128kB,57329278,0,1.516039,0.659614,21369,,,,699292,76553,,3708575,,28274,,,,9673022
base_susan_rob64_256kB,57308570,0,1.515491,0.659852,21362,,,,699328,76535,,3708266,,28257,,,,9691939
base_susan_rob64_64kB,57309244,0,1.515509,0.659844,21367,,,,699192,76578,,3708015,,28294,,,,9681036
base_susan_rob96_128kB,56674190,148662,1.498716,0.667238,21048,,,,1171147,106863,,3774994,,28307,,,,8698389
base_susan_rob96_256kB,56646903,148654,1.497994,0.667559,21045,,,,1171143,106876,,3774844,,28294,,,,8712972
base_susan_rob96_64kB,56630963,148654,1.497573,0.667747,21053,,,,1171236,106893,,3775156,,28327,,,,8688085
pre_bzip2d_rob128_128kB,388261056,1834860,2.183849,0.457907,1025165,196341872,191.522,0.000,78920939,1550535,150554,55140459,210443,1041798,28515,316.042,1834860,
pre_bzip2d_rob128_256kB,375316074,1852562,2.111037,0.473701,967267,184961504,191.221,0.000,73892944,1533281,145564,54615656,202431,982895,26588,316.011,1852562,
pre_bzip2d_rob128_64kB,394255447,1878309,2.217565,0.450945,1053830,201924041,191.610,0.000,81003803,1573761,154188,55395265,227084,1071330,29420,316.061,1878309,
pre_bzip2d_rob160_128kB,386830050,1630404,2.175800,0.459601,1005101,193631457,192.649,0.000,45903995,1606974,86014,52932717,350901,1053773,21243,292.050,1630404,
pre_bzip2d_rob160_256kB,,,,,,,,,,,,,,,,,,
pre_bzip2d_rob160_64kB,392758944,1609574,2.209148,0.452663,1033600,199077462,192.606,0.000,47120706,1619580,88783,53116375,354395,1083386,22078,292.124,1609574,
pre_bzip2d_rob192_128kB,388550078,1956376,2.185474,0.457567,995854,191979357,192.779,0.000,19556744,1606069,29323,52253055,104817,1056207,9203,267.055,1956376,
pre_bzip2d_rob192_256kB,375546423,1859372,2.112333,0.473410,938036,180777095,192.719,0.000,18412305,1595242,28379,51960229,107473,996388,8621,266.917,1859372,
pre_bzip2d_rob192_64kB,394532881,1995616,2.219126,0.450628,1024315,197466940,192.780,0.000,20199159,1618506,31024,52399660,115173,1086167,9533,267.146,1995616,
pre_bzip2d_rob64_128kB,394925480,204532,2.221334,0.450180,1035787,200605753,193.675,0.000,129834732,1401257,306195,57350523,54659,1043311,39458,366.796,204532,
pre_bzip2d_rob64_256kB,381831842,183098,2.147686,0.465617,977118,189055096,193.482,0.000,122786984,1392879,301781,56482298,50270,983992,36502,366.750,183098,
pre_bzip2d_rob64_64kB,401020032,114383,2.255614,0.443338,1064567,206225300,193.718,0.000,134693058,1419597,313188,57708350,60714,1072402,41080,366.824,114383,
pre_bzip2d_rob96_128kB,389042595,1933154,2.188244,0.456987,1027545,197101202,191.818,0.000,108820012,1457586,263806,56799994,96511,1038187,34331,341.727,1933154,
pre_bzip2d_rob96_256kB,376141196,1781476,2.115678,0.472662,969572,185873341,191.707,0.000,102162468,1443929,257722,56112597,81930,979559,31886,341.637,1781476,
pre_bzip2d_rob96_64kB,395057762,1912712,2.222078,0.450029,1056238,202615694,191.828,0.000,112676485,1478683,267493,57188055,105808,1067544,35115,341.778,1912712,
pre_cg_rob128_128kB,298887646,1721804,2.246068,0.445222,2359816,133734289,56.671,0.000,70388339,41935752,9985989,43038467,882219,6220678,1337909,304.183,1721804,
pre_cg_rob128_256kB,297314343,1705317,2.234245,0.447578,2349339,133996756,57.036,0.000,70209809,41882978,9993034,42954746,780761,6221517,1334698,304.140,1705317,
pre_cg_rob128_64kB,300427605,1745806,2.257641,0.442940,2363374,134095661,56.739,0.000,70345996,41942179,10006748,43052150,733536,6189881,1351685,304.129,1745806,
pre_cg_rob160_128kB,285179785,3323233,2.143057,0.466623,1143800,60943344,53.281,0.000,34278699,45654587,4115239,34733778,27148,7190420,128355,287.759,3323233,
pre_cg_rob160_256kB,283791189,3326274,2.132623,0.468906,1141169,62311575,54.603,0.000,33843160,45632781,4159934,34622414,154029,7201830,130072,287.635,3326274,
pre_cg_rob160_64kB,286974701,3343604,2.156546,0.463704,1141298,61699715,54.061,0.000,33322114,45667240,4125107,34650427,21367,7202678,125927,287.699,3343604,
pre_cg_rob192_128kB,279268281,3855643,2.098634,0.476500,483566,23494631,48.586,0.000,12904344,48587689,898826,30562302,117667,6372171,70974,269.643,3855643,
pre_cg_rob192_256kB,277867349,3831768,2.088106,0.478903,479208,23915531,49.906,0.000,12691532,48558888,924746,30525846,340537,6361730,76093,269.766,3831768,
pre_cg_rob192_64kB,281091784,3842413,2.112337,0.473409,480847,23674980,49.236,0.000,12717954,48589732,894830,30553648,109996,6376190,69303,269.585,3842413,
pre_cg_rob64_128kB,342148937,1613081,2.571166,0.388929,2734479,204567235,74.810,0.000,179580117,23413323,29120888,54400371,132315,4401400,3927845,359.882,1613081,
pre_cg_rob64_256kB,340570798,1614330,2.559306,0.390731,2732122,205538035,75.230,0.000,181348005,23403212,29117084,54361778,149728,4393200,3943846,359.889,1614330,
pre_cg_rob64_64kB,344259623,1616397,2.587027,0.386544,2736811,205942094,75.249,0.000,180737365,23404852,29167689,54411694,114314,4413864,3927147,359.893,1616397,
pre_cg_rob96_128kB,311779505,1078522,2.342948,0.426813,2601203,167686459,64.465,0.000,117708688,33436538,19525122,47355308,123326,8078134,1064123,331.011,1078522,
pre_cg_rob96_256kB,310141962,1089530,2.330642,0.429066,2595850,167749748,64.622,0.000,119335547,33361280,19577147,47057685,59547,8067189,1067791,331.023,1089530,
pre_cg_rob96_64kB,313367842,1097529,2.354884,0.424649,2601109,168244705,64.682,0.000,117754659,33439498,19555857,47394286,81117,8050044,1075644,331.028,1097529,
pre_consumer_rob128_128kB,102822822,50891,0.893127,1.119662,66346,6343639,95.614,0.000,5048994,1204699,145326,20094329,343396,197188,26420,311.649,50891,
pre_consumer_rob128_256kB,74463185,8000,0.646791,1.546094,9528,1064950,111.771,0.000,924363,1136817,24932,15566476,51542,24034,2365,317.185,8000,
pre_consumer_rob128_64kB,110646009,71395,0.961079,1.040497,96101,10050562,104.583,0.000,7189257,1206236,199384,20956403,329837,289244,34082,308.601,71395,
pre_consumer_rob160_128kB,102362566,62095,0.889129,1.124697,58039,5272247,90.840,0.000,3496982,1215008,82814,20067633,326760,206518,12693,285.675,62095,
pre_consumer_rob160_256kB,74284306,11969,0.645238,1.549817,8974,973700,108.502,0.000,735011,1134185,16871,15624511,58003,26300,1782,292.814,11969,
pre_consumer_rob160_64kB,109882134,87049,0.954444,1.047730,76860,7418788,96.523,0.000,5037347,1226184,104372,20806772,404470,291418,17765,283.808,87049,
pre_consumer_rob192_128kB,102119130,48077,0.887014,1.127378,40415,3840190,95.019,0.000,2327242,1235466,36007,19956654,356875,216801,6660,265.690,48077,
pre_consumer_rob192_256kB,74103995,12917,0.643672,1.553587,8101,829760,102.427,0.000,508847,1141910,10031,15591490,61123,24988,925,268.950,12917,
pre_consumer_rob192_64kB,109651420,72947,0.952440,1.049935,55142,5356206,97.135,0.000,3491308,1248112,64505,20710415,384756,304822,13009,262.873,72947,
pre_consumer_rob64_128kB,107068683,49586,0.930006,1.075262,81517,8179740,100.344,0.000,8181908,989317,261774,20184047,259373,184550,49867,364.919,49586,
pre_consumer_rob64_256kB,78619758,5640,0.682896,1.464352,10930,1310367,119.887,0.000,1461592,980707,43906,15460700,56436,22176,5634,366.586,5640,
pre_consumer_rob64_64kB,115355047,78326,1.001982,0.998022,122630,13154214,107.268,0.000,13637002,986163,370739,21335961,358028,271575,65310,363.035,78326,
pre_consumer_rob96_128kB,104160119,53194,0.904743,1.105287,69263,7170913,103.532,0.000,7001182,1121811,205772,20153671,238599,185339,43554,338.162,53194,
pre_consumer_rob96_256kB,75382396,6566,0.654776,1.527240,10504,1189491,113.242,0.000,1155169,1080756,32116,15501967,50564,23393,2899,342.036,6566,
pre_consumer_rob96_64kB,112579502,94405,0.977874,1.022627,106639,11919624,111.775,0.000,10721260,1136989,308939,21265832,300640,280837,62464,335.464,94405,
pre_d_rob81_256kB,152470,4,2.708748,0.369174,38,3217,84.658,0.000,329,307,4,45014,,178,,362.395,4,
pre_dijkstra_rob128_128kB,151241,4,2.686914,0.372174,28,2250,80.357,0.000,124,318,8,44831,,183,1,339.464,4,
pre_dijkstra_rob128_256kB,151241,4,2.686914,0.372174,28,2250,80.357,0.000,124,318,8,44831,,183,1,339.464,4,
pre_dijkstra_rob128_64kB,151522,4,2.691906,0.371484,28,2182,77.929,0.000,112,318,8,44779,,183,1,339.464,4,
pre_dijkstra_rob160_128kB,151495,1,2.691426,0.371550,22,1795,81.591,0.000,139,327,2,44850,,184,1,322.227,1,
pre_dijkstra_rob160_256kB,151495,1,2.691426,0.371550,22,1795,81.591,0.000,139,327,2,44850,,184,1,322.227,1,
pre_dijkstra_rob160_64kB,151601,1,2.693309,0.371290,22,1795,81.591,0.000,139,327,2,44857,,184,1,322.227,1,
pre_dijkstra_rob192_128kB,151495,11,2.691426,0.371550,21,1675,79.762,0.000,489,327,5,45241,,188,,306.571,11,
pre_dijkstra_rob192_256kB,151495,11,2.691426,0.371550,21,1675,79.762,0.000,489,327,5,45241,,188,,306.571,11,
pre_dijkstra_rob192_64kB,152392,11,2.707362,0.369363,21,1675,79.762,0.000,489,327,5,45287,,188,,306.571,11,
pre_dijkstra_rob64_128kB,152726,1,2.713296,0.368555,48,3571,74.396,0.000,635,300,22,45141,,179,4,372.229,1,
pre_dijkstra_rob64_256kB,152726,1,2.713296,0.368555,48,3571,74.396,0.000,635,300,22,45141,,179,4,372.229,1,
pre_dijkstra_rob64_64kB,152799,1,2.714593,0.368379,48,3477,72.438,0.000,622,300,22,45131,,179,4,372.229,1,
pre_dijkstra_rob96_128kB,151233,1,2.686772,0.372194,34,2973,87.441,0.000,316,309,12,44679,,181,5,356.765,1,
pre_dijkstra_rob96_256kB,151233,1,2.686772,0.372194,34,2973,87.441,0.000,316,309,12,44679,,181,5,356.765,1,
pre_dijkstra_rob96_64kB,152226,1,2.704413,0.369766,33,2880,87.273,0.000,316,309,12,44672,,181,5,357.667,1,
pre_hj2_rob128_128kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob128_256kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob128_64kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob160_128kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob160_256kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob160_64kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob192_128kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob192_256kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob192_64kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob64_128kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob64_256kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob64_64kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob96_128kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob96_256kB,,,,,,,,,,,,,,,,,,
pre_hj2_rob96_64kB,,,,,,,,,,,,,,,,,,
pre_is_rob128_128kB,,,,,,,,,,,,,,,,,,
pre_is_rob128_256kB,,,,,,,,,,,,,,,,,,
pre_is_rob128_64kB,,,,,,,,,,,,,,,,,,
pre_is_rob160_128kB,,,,,,,,,,,,,,,,,,
pre_is_rob160_256kB,,,,,,,,,,,,,,,,,,
pre_is_rob160_64kB,,,,,,,,,,,,,,,,,,
pre_is_rob192_128kB,,,,,,,,,,,,,,,,,,
pre_is_rob192_256kB,,,,,,,,,,,,,,,,,,
pre_is_rob192_64kB,,,,,,,,,,,,,,,,,,
pre_is_rob64_128kB,,,,,,,,,,,,,,,,,,
pre_is_rob64_256kB,,,,,,,,,,,,,,,,,,
pre_is_rob64_64kB,,,,,,,,,,,,,,,,,,
pre_is_rob96_128kB,,,,,,,,,,,,,,,,,,
pre_is_rob96_256kB,,,,,,,,,,,,,,,,,,
pre_is_rob96_64kB,,,,,,,,,,,,,,,,,,
pre_qsort_rob128_128kB,90535076,30160,0.687742,1.454033,31855,4234819,132.940,0.000,5725782,144902,73315,22147993,217292,50954,13910,337.286,30160,
pre_qsort_rob128_256kB,89134351,19347,0.677102,1.476883,21839,2932663,134.286,0.000,4124668,144699,55083,21916704,194578,34503,9745,338.002,19347,
pre_qsort_rob128_64kB,91616859,40198,0.695960,1.436865,40637,5341549,131.445,0.000,7105249,146371,89157,22349091,243947,64989,17887,336.307,40198,
pre_qsort_rob160_128kB,90965883,17185,0.691015,1.447147,27410,3533381,128.908,0.000,5136559,145969,105194,22249475,697206,51518,15890,321.137,17185,
pre_qsort_rob160_256kB,89693595,10185,0.681350,1.467675,19022,2466797,129.681,0.000,3693796,147361,75693,22059592,490059,35127,10860,322.244,10185,
pre_qsort_rob160_64kB,91901468,22636,0.698122,1.432415,34152,4333839,126.899,0.000,6245426,145647,126820,22401822,871840,64742,21140,319.663,22636,
pre_qsort_rob192_128kB,91167843,31446,0.692549,1.443941,28631,3518317,122.885,0.000,4083493,164042,65775,22424368,230147,58209,9822,303.271,31446,
pre_qsort_rob192_256kB,89894990,23399,0.682880,1.464387,19691,2453636,124.607,0.000,2955558,161073,49013,22256701,181062,39453,6993,305.164,23399,
pre_qsort_rob192_64kB,92120095,41481,0.699783,1.429015,36201,4333523,119.707,0.000,4933047,166761,73746,22563018,237200,73124,13268,301.327,41481,
pre_qsort_rob64_128kB,92388883,30906,0.701824,1.424858,36026,5208705,144.582,0.000,9049313,116725,82770,22171045,225105,39022,18681,373.871,30906,
pre_qsort_rob64_256kB,90945856,25002,0.690863,1.447466,25528,3712441,145.426,0.000,6203019,123343,56593,21823455,131782,27597,12179,373.886,25002,
pre_qsort_rob64_64kB,93600069,35758,0.711025,1.406420,44749,6411393,143.275,0.000,11309789,110940,105970,22474355,285307,48340,25122,373.856,35758,
pre_qsort_rob96_128kB,90755394,28367,0.689416,1.450504,34535,4801031,139.019,0.000,6915649,133380,74769,22088452,125404,50181,11439,355.434,28367,
pre_qsort_rob96_256kB,89181738,22830,0.677462,1.476098,23570,3293328,139.725,0.000,4823556,133915,51055,21813183,60459,33987,8221,355.749,22830,
pre_qsort_rob96_64kB,92086401,45783,0.699527,1.429538,44357,6113949,137.835,0.000,8485906,135206,87830,22335708,90163,64868,13822,354.901,45783,
pre_randacc200k_rob128_128kB,2069631,381,1.473750,0.678541,429,47918,111.697,0.000,7766,29584,23,283510,209,592,5,316.625,381,
pre_randacc200k_rob128_256kB,1982166,2,1.411467,0.708483,19,1703,89.632,0.000,133,29572,11,281091,,164,2,335.579,2,
pre_randacc200k_rob128_64kB,4016526,21442,2.860101,0.349638,15222,2217606,145.684,0.000,415420,29548,310,365997,21124,15655,131,316.469,21442,
pre_randacc200k_rob160_128kB,2030726,9391,1.446046,0.691541,212,22430,105.802,0.000,2285,29605,5,282454,134,589,2,293.028,9391,
pre_randacc200k_rob160_256kB,1985791,9377,1.414049,0.707189,16,1446,90.375,0.000,57,29594,1,280856,,164,1,316.000,9377,
pre_randacc200k_rob160_64kB,4166346,15976,2.966786,0.337065,9528,1424590,149.516,0.000,114160,29604,74,330642,6977,15705,36,291.349,15976,
pre_randacc200k_rob192_128kB,2032881,22826,1.447581,0.690808,27,2411,89.296,0.000,1008,29602,11,281821,230,589,,291.852,22826,
pre_randacc200k_rob192_256kB,1986137,22850,1.414295,0.707066,14,1192,85.143,0.000,198,29596,8,281185,,165,,303.071,22850,
pre_randacc200k_rob192_64kB,4182908,16938,2.978579,0.335731,106,12480,117.736,0.000,5680,29602,43,282509,3709,15720,18,275.453,16938,
pre_randacc200k_rob64_128kB,2035605,484,1.449520,0.689883,490,53211,108.594,0.000,43748,29552,120,286567,77,623,19,366.322,484,
pre_randacc200k_rob64_256kB,1984970,1,1.413464,0.707482,39,2804,71.897,0.000,278,29555,34,281070,,157,8,372.564,1,
pre_randacc200k_rob64_64kB,4000420,14505,2.848632,0.351046,15162,2194267,144.721,0.000,1544891,29182,1084,456902,3712,15309,490,366.328,14505,
pre_randacc200k_rob96_128kB,2031036,269,1.446267,0.691435,453,50129,110.660,0.000,29043,29566,60,285642,148,606,12,341.642,269,
pre_randacc200k_rob96_256kB,1984204,4,1.412919,0.707755,22,1967,89.409,0.000,251,29560,23,280914,,161,4,354.500,4,
pre_randacc200k_rob96_64kB,4061305,7130,2.891988,0.345783,15287,2240336,146.552,0.000,1121440,29501,390,424313,5093,15630,155,341.428,7130,
pre_randacc500k_rob128_128kB,10078951,55478,4.658514,0.214661,39461,6831473,173.120,0.000,1805374,85004,961,674734,62662,40627,320,316.764,55478,
pre_randacc500k_rob128_256kB,3780695,323,1.747446,0.572264,197,18820,95.533,0.000,7241,85487,15,375244,3,359,4,318.467,323,
pre_randacc500k_rob128_64kB,13006868,69254,6.011804,0.166339,62108,10019513,161.324,0.000,2281787,85264,831,783365,76080,65110,469,317.781,69254,
pre_randacc500k_rob160_128kB,10719273,44748,4.954472,0.201838,27070,4884103,180.425,0.000,343535,85412,233,518396,20306,40859,77,291.552,44748,
pre_randacc500k_rob160_256kB,3764656,26796,1.740032,0.574702,116,11553,99.595,0.000,1160,85513,2,373880,,358,1,295.060,26796,
pre_randacc500k_rob160_64kB,14914635,62577,6.893578,0.145063,53340,9592413,179.835,0.000,759585,85379,320,673702,34374,65426,137,292.820,62577,
pre_randacc500k_rob192_128kB,10821144,55921,5.001557,0.199938,112,12567,112.205,0.000,4532,85513,10,374659,2060,40928,,271.598,55921,
pre_randacc500k_rob192_256kB,3793870,58944,1.753535,0.570277,20,1509,75.450,0.000,340,85514,8,373883,,351,,301.850,58944,
pre_randacc500k_rob192_64kB,15148612,54104,7.001723,0.142822,109,13428,123.193,0.000,3351,85513,10,374250,1569,65561,,272.294,54104,
pre_randacc500k_rob64_128kB,9775945,40166,4.518464,0.221314,38883,6546876,168.374,0.000,3975344,83649,3730,826028,13661,39511,1495,366.464,40166,
pre_randacc500k_rob64_256kB,3770856,175,1.742898,0.573757,231,22792,98.667,0.000,18841,85476,69,376207,107,362,16,367.078,175,
pre_randacc500k_rob64_64kB,12885633,59265,5.955769,0.167904,60905,9841339,161.585,0.000,6042278,84747,2439,1069873,1294,64024,1617,366.947,59265,
pre_randacc500k_rob96_128kB,9995999,16337,4.620173,0.216442,39426,6762390,171.521,0.000,2980446,84529,1759,749704,34839,40324,640,341.623,16337,
pre_randacc500k_rob96_256kB,3788705,171,1.751148,0.571054,213,22097,103.742,0.000,13354,85481,33,375301,,369,7,342.634,171,
pre_randacc500k_rob96_64kB,12836704,31822,5.933154,0.168544,61669,9860608,159.896,0.000,4148866,84940,1624,916083,40073,64598,998,342.378,31822,
pre_randacc600k_rob128_128kB,27959586,147172,7.679416,0.130218,143569,22538833,156.990,0.000,6214083,208960,3345,1577397,261278,152916,1674,318.136,147172,
pre_randacc600k_rob128_256kB,22065993,125489,6.060674,0.164998,92930,16216925,174.507,0.000,4576655,206848,5856,1265179,334734,96478,1947,316.968,125489,
pre_randacc600k_rob128_64kB,30805658,172532,8.461122,0.118188,173055,25576050,147.791,0.000,7323307,209769,2048,1762490,207926,185313,1270,318.778,172532,
pre_randacc600k_rob160_128kB,33870544,159291,9.302927,0.107493,133664,25097272,187.764,0.000,2073245,209970,820,1305095,112109,154417,298,293.083,159291,
pre_randacc600k_rob160_256kB,24739161,107863,6.794890,0.147169,72791,13830575,190.004,0.000,1045185,209562,1223,941306,102440,98151,331,291.643,107863,
pre_randacc600k_rob160_64kB,37210516,167467,10.220288,0.097845,111902,20350413,181.859,0.000,2021904,210300,656,1182840,104135,186309,392,293.728,167467,
pre_randacc600k_rob192_128kB,35154333,123226,9.655534,0.103568,2430,344364,141.714,0.000,98736,210348,291,555038,60720,154592,159,265.842,123226,
pre_randacc600k_rob192_256kB,25383409,132091,6.971840,0.143434,1449,189615,130.859,0.000,76659,210184,451,549563,59295,98361,163,266.061,132091,
pre_randacc600k_rob192_64kB,40820223,119961,11.211735,0.089192,2125,304415,143.254,0.000,86564,210370,276,552448,55395,186540,174,265.992,119961,
pre_randacc600k_rob64_128kB,26994425,134486,7.414324,0.134874,139637,21493016,153.921,0.000,13736254,204137,16616,2100004,131830,144939,9517,367.144,134486,
pre_randacc600k_rob64_256kB,21530946,103573,5.913717,0.169098,92302,15653496,169.590,0.000,9584150,200975,17021,1613758,71473,91999,6427,366.619,103573,
pre_randacc600k_rob64_64kB,30048977,123755,8.253291,0.121164,167291,24672093,147.480,0.000,15494228,207260,11605,2329120,62876,178157,8218,367.441,123755,
pre_randacc600k_rob96_128kB,26626652,62071,7.313311,0.136737,141452,21240979,150.164,0.000,9975199,206780,8930,1824827,164627,149663,4569,342.657,62071,
pre_randacc600k_rob96_256kB,20906292,46248,5.742149,0.174151,91459,15180430,165.981,0.000,7201013,202942,12853,1423827,219252,93717,4548,341.779,46248,
pre_randacc600k_rob96_64kB,30540588,69181,8.388317,0.119213,173265,25293794,145.983,0.000,11600466,208936,4900,2076068,101240,183209,3196,343.210,69181,
pre_susan_rob128_128kB,55833233,39290,1.476477,0.677288,10623,1035521,97.479,0.000,1501934,119551,78487,4191928,306112,21199,7481,319.363,39290,
pre_susan_rob128_256kB,55809398,39305,1.475847,0.677577,10591,1054781,99.592,0.000,1471826,119111,83773,4195362,286873,21159,7556,319.349,39305,
pre_susan_rob128_64kB,55805129,39201,1.475734,0.677629,10629,1032971,97.184,0.000,1496843,119715,82619,4205355,272075,21224,7493,319.351,39201,
pre_susan_rob160_128kB,55654271,46334,1.471745,0.679466,10422,966817,92.767,0.000,1189512,147829,67614,4171851,326784,21277,7404,294.099,46334,
pre_susan_rob160_256kB,55628018,46341,1.471050,0.679786,10440,981812,94.043,0.000,1186222,147697,67761,4170764,342317,21297,7433,294.093,46341,
pre_susan_rob160_64kB,55619091,46351,1.470814,0.679896,10374,960749,92.611,0.000,1182634,147575,67514,4170326,326077,21302,7380,294.113,46351,
pre_susan_rob192_128kB,55546160,47119,1.468886,0.680788,10345,823908,79.643,0.000,951012,176093,65221,4183897,225028,21021,7414,270.145,47119,
pre_susan_rob192_256kB,55533171,47273,1.468542,0.680947,10285,839155,81.590,0.000,961627,175105,56892,4179372,276433,21003,7311,270.148,47273,
pre_susan_rob192_64kB,55520174,47156,1.468198,0.681107,10361,821538,79.291,0.000,952093,176290,65295,4183441,219756,21022,7410,270.125,47156,
pre_susan_rob64_128kB,56632895,5005,1.497624,0.667724,13257,1638658,123.607,0.000,2147866,60225,117985,4200866,244188,19666,8545,366.780,5005,
pre_susan_rob64_256kB,56602304,4982,1.496815,0.668085,13208,1648161,124.785,0.000,2148771,59920,118132,4201645,251598,19654,8548,366.781,4982,
pre_susan_rob64_64kB,56590092,4990,1.496492,0.668230,13150,1639958,124.712,0.000,2184446,59865,117157,4197403,249847,19689,8522,366.774,4990,
pre_susan_rob96_128kB,56043425,152247,1.482035,0.674748,13108,1362930,103.977,0.000,1762067,89271,100889,4198799,263169,20315,7884,341.058,152247,
pre_susan_rob96_256kB,56018608,152260,1.481379,0.675047,13100,1376740,105.095,0.000,1766855,88960,100970,4200303,272850,20329,7778,341.044,152260,
pre_susan_rob96_64kB,56013809,152284,1.481252,0.675104,13182,1360898,103.239,0.000,1614878,89727,101357,4201944,257387,20339,7860,341.069,152284,
run_bzip2d_rob128_128kB,414433167,229323,2.331059,0.428990,1117411,223642039,200.143,7.475,160479450,1527555,143227,64799962,414,1134328,7341,,,
run_bzip2d_rob128_256kB,399763705,219121,2.248547,0.444732,1050871,209692611,199.542,7.248,148167863,1515270,139767,63622501,449,1066943,6339,,,
run_bzip2d_rob128_64kB,421334652,236575,2.369877,0.421963,1150699,230576931,200.380,7.636,166873659,1545821,148399,65405395,580,1168184,8076,,,
run_bzip2d_rob160_128kB,412746958,209370,2.321574,0.430742,1079046,222311224,206.026,7.360,158017927,1548734,41120,65237507,364,1134301,7516,,,
run_bzip2d_rob160_256kB,398099232,197042,2.239185,0.446591,1013056,208425668,205.740,7.125,145514234,1547455,39195,64060229,409,1066912,6470,,,
run_bzip2d_rob160_64kB,419669878,217104,2.360513,0.423637,1112137,229232603,206.119,7.487,164501562,1554845,45658,65842069,551,1168199,8235,,,
run_bzip2d_rob192_128kB,412813790,200440,2.321950,0.430672,1078167,222140501,206.035,7.287,157756014,1562830,17737,65507059,323,1134561,7351,,,
run_bzip2d_rob192_256kB,398123822,181863,2.239324,0.446563,1012184,208245518,205.739,7.054,145093605,1558203,16948,64323231,391,1067027,6399,,,
run_bzip2d_rob192_64kB,419691321,210353,2.360634,0.423615,1111162,229041916,206.128,7.432,164300679,1569426,21399,66114365,500,1168467,8035,,,
run_bzip2d_rob64_128kB,420513578,241327,2.365259,0.422787,1127512,227369050,201.656,8.569,168647271,1363466,335660,61630126,427,1134478,7631,,,
run_bzip2d_rob64_256kB,405834945,222697,2.282696,0.438078,1060797,213426377,201.194,8.404,158542789,1360189,328225,60454717,444,1067338,6643,,,
run_bzip2d_rob64_64kB,427402126,251177,2.404005,0.415973,1160879,234278140,201.811,8.670,173755116,1377161,343603,62232165,612,1168151,8472,,,
run_bzip2d_rob96_128kB,415574271,231838,2.337477,0.427812,1120646,225162837,200.922,7.920,163702761,1458731,218685,64091602,393,1134093,7521,,,
